option1,option2,option3,option4,answer
jet,dinner,gear,farmer,jet
jam,nail,shop,goal,jam
jacket,arch,loaf,sheep,jacket
jug,boot,butter,moat,jug
jacket,wig,wood,oil,jacket
jam,tooth,chain,hair,jam
jet,letter,wing,fork,fork
jacket,coin,teeth,farm,jacket
jam,coin,oil,sail,oil
jet,boat,road,card,jet
jug,box,bee,curl,jug
jacket,dish,vet,oil,jacket
jam,seed,lightning,chop,jam
jug,feet,butter,church,jug
jam,gear,letter,box,jam
jet,bee,boxer,horn,jet
jacket,shark,chop,food,jacket
jacket,wig,seed,yak,jacket
jacket,ear,light,quack,ear
jet,corner,bath,boxer,jet
jet,shell,hoof,coin,jet
jet,chair,lightning,town,jet
jet,shop,fox,tear,jet
jug,yak,hoof,coin,jug
jet,corner,cart,buzz,jet
jug,bee,wing,roof,jug
jug,hook,soil,cart,jug
jet,curl,corn,oak,oak
jacket,shed,foot,boxer,jacket
jet,six,shark,corner,shark
jacket,road,dinner,lightning,jacket
jet,hook,wig,town,wig
jug,fish,fork,box,jug
jacket,corn,lord,boat,jacket
jug,wig,tooth,rain,jug
jet,gear,chair,owl,jet
jacket,card,wig,moth,jacket
jug,buzz,gear,corner,jug
jacket,toad,fork,stair,jacket
jacket,shed,moon,chair,jacket
jam,feet,rain,zip,jam
jacket,bush,ring,cow,jacket
jet,chin,moat,hood,jet
jacket,lightning,path,tooth,jacket
jacket,chop,cook,card,jacket
jam,chick,quack,seed,seed
jug,wing,roof,food,jug
jug,curl,goat,hook,jug
jet,farmer,farmer,goal,farmer
jug,chin,shop,fork,jug
jacket,fork,shed,church,jacket
jug,boxer,feet,barn,jug
jug,loaf,barn,burn,jug
jug,arch,buzz,wool,jug
jet,light,surf,chair,jet
jet,hair,hammer,moat,jet
jacket,wood,moth,moth,jacket
jet,chop,fork,wig,jet
jacket,quack,ear,chain,chain
jug,loaf,goal,chop,jug
jam,vet,waiter,dish,jam
jet,bark,lord,church,jet
jug,singer,foot,king,jug
jam,arch,moon,ring,jam
jam,fur,boxer,church,jam
jacket,shop,chain,sing,jacket
jacket,boot,burn,chain,jacket
jug,turnip,cook,lightning,jug
jet,tooth,boot,book,jet
jug,gear,feet,fish,jug
jam,toad,web,corn,jam
jacket,bath,church,zip,jacket
jacket,queen,farmer,soap,jacket
jam,roof,quack,zigzag,jam
jam,gear,chicken,oak,jam
jacket,soap,oil,wool,soap
jam,chin,wool,tinfoil,jam
jacket,shark,hook,foot,jacket
jug,burn,letter,boot,jug
jet,soil,surf,chicken,jet
jet,fork,light,dinner,jet
jacket,waiter,fur,dish,jacket
jug,barn,chin,zip,jug
jacket,sail,bath,vet,jacket
jet,wet,zip,buzz,jet
jam,oak,wing,shop,jam
jam,curl,arch,chop,jam
jam,gear,feet,chin,jam
jacket,soap,church,horn,jacket
jacket,curl,sing,sing,curl
jam,vet,arch,shark,jam
jug,arch,sail,hook,jug
jacket,sheep,horn,hook,jacket
jacket,box,moon,horn,jacket
jacket,wool,church,road,jacket
jet,yak,boot,vet,jet
jet,car,teeth,torch,jet
jet,corn,lightning,curl,jet
jet,book,road,hood,jet
jam,sheep,chin,sail,jam
jet,wig,moat,hammer,jet
jam,burn,cow,thorn,jam
jug,sing,chop,zigzag,jug
jam,curl,king,yak,jam
jet,horn,church,goal,jet
jacket,card,feet,hammer,jacket
jet,bee,buzz,zigzag,jet
jam,queen,moat,chick,jam
jacket,car,oil,town,jacket
jet,fox,waiter,chair,jet
jet,zigzag,corn,quack,jet
jug,farmer,oak,goal,jug
jam,boat,road,sing,jam
jacket,thorn,butter,seed,jacket
jacket,stair,boxer,hammer,jacket
jam,butter,shop,food,jam
jacket,chain,waiter,feet,jacket
jam,oak,wing,moon,jam
jam,lord,box,wig,jam
jet,light,tinfoil,feet,jet
jet,hook,loaf,oak,jet
jacket,coin,tinfoil,gear,jacket
jet,quack,boxer,food,jet
jacket,butter,moth,wet,moth
jug,moat,chain,barn,moat
jacket,gear,hammer,seed,jacket
jug,moat,coin,soil,jug
jam,boat,night,oak,jam
jam,roof,lord,farm,jam
jam,moat,toad,buzz,jam
jug,barn,seed,yak,jug
jet,poison,chicken,butter,jet
jacket,card,web,chin,jacket
jacket,six,tooth,foot,jacket
jet,card,seed,letter,jet
jacket,shell,shed,rain,jacket
jug,road,boat,beard,jug
jam,sail,horn,moat,jam
jacket,boat,chicken,boxer,boat
jet,bee,food,oak,jet
jet,yak,boxer,chick,jet
jacket,quack,sheep,shark,jacket
jacket,boxer,ear,shed,ear
jug,cork,burn,farm,jug
jam,bark,turnip,chin,chin
jet,seed,shark,chick,jet
jacket,moon,cook,fox,jacket
jug,corner,toad,burn,jug
jug,feet,night,goal,jug
jug,goat,vet,shed,jug
jet,park,wood,moon,jet
jacket,path,wet,oil,jacket
jug,light,six,wing,jug
jam,roof,roof,bark,jam
jam,tear,tooth,ear,ear
jug,chin,chop,cork,jug
jug,surf,teeth,farm,jug
jam,horn,goal,soil,jam
jet,hair,wet,chick,jet
jug,chop,surf,six,jug
jet,oil,butter,curl,jet
jacket,roof,roof,boxer,roof
jet,cart,queen,path,jet
jam,hook,food,turnip,jam
jet,wool,fork,cook,jet
jacket,town,chicken,torch,jacket
jug,toad,zigzag,goal,jug
jet,park,foot,shop,foot
jacket,bush,dinner,queen,jacket
jug,church,burn,coin,jug
jet,goal,fish,corner,fish
jet,sing,yak,butter,jet
jam,wig,beard,boat,jam
jug,queen,soap,night,jug
jacket,fork,wet,light,jacket
jug,turnip,moth,web,turnip
jet,farm,zigzag,nail,jet
jacket,corn,teeth,arch,arch
jacket,shell,dinner,hood,jacket
jacket,torch,farm,hoof,jacket
jet,chop,rain,horn,horn
jacket,horn,hook,roof,jacket
jet,oak,toad,foot,oak
jet,wet,wool,shed,jet
jet,zip,poison,shed,jet
jacket,cook,roof,oak,jacket
jet,ear,chain,wing,jet
jacket,card,feet,sail,jacket
jam,bee,farmer,gear,jam
jacket,hoof,chop,tooth,jacket
jacket,fish,shop,six,fish
jet,oil,chicken,shop,oil
jet,moon,singer,surf,jet
jet,burn,chicken,barn,jet
jam,boot,soil,quack,jam
jam,queen,cow,box,jam
jet,sail,corn,light,sail
jacket,oak,loaf,park,jacket
jam,ring,shed,hook,jam
jacket,farm,zip,thorn,jacket
jam,teeth,barn,corn,jam
jet,bark,card,hood,jet
jam,dish,cow,wig,jam
jacket,night,zip,barn,jacket
jacket,turnip,letter,barn,jacket
jet,food,fish,vet,jet
jug,chin,web,light,jug
jam,moth,nail,hood,jam
jet,church,soap,turnip,jet
jug,book,hook,seed,jug
jam,fox,chin,teeth,jam
jug,book,fish,cork,jug
jam,thorn,farmer,cook,jam
jug,tear,torch,car,jug
jacket,tear,vet,ring,jacket
jet,hook,seed,soil,jet
jam,moon,food,king,jam
jacket,moon,wing,surf,jacket
jam,road,corner,chicken,jam
jacket,lord,bath,web,jacket
jet,owl,thorn,tail,jet
jacket,chicken,beard,road,jacket
jacket,chain,fox,hoof,jacket
jam,chop,arch,food,chop
jacket,goat,goal,park,jacket
jacket,curl,tinfoil,shop,jacket
jam,lightning,boot,lightning,jam
jug,town,butter,cow,jug
jam,hammer,oak,cart,jam
jet,waiter,cook,tooth,jet
jam,moon,ring,dish,jam
jam,tear,vet,moat,jam
jug,coin,chicken,night,jug
jug,boxer,ear,zip,jug
jam,burn,night,bark,jam
jug,butter,wool,park,park
jet,book,barn,ear,jet
jet,food,stair,vet,jet
jug,zip,goat,corn,jug
jacket,soap,stair,loaf,jacket
jug,shell,shed,oak,jug
jam,shed,fork,singer,jam
jug,wood,sing,horn,horn
jam,buzz,foot,queen,jam
jet,beard,oak,shed,jet
jam,letter,book,oak,jam
jacket,corner,yak,wool,jacket
jet,goat,fork,church,jet
jug,fur,chicken,hook,jug
jam,tinfoil,dinner,coin,jam
jacket,ear,oak,nail,jacket
jug,roof,buzz,box,jug
jam,hook,buzz,bee,jam
jet,ear,coin,bush,jet
jacket,dish,fish,roof,jacket
jam,dinner,fish,buzz,jam
jacket,chop,goal,hammer,jacket
jug,wing,waiter,buzz,jug
jacket,oil,foot,seed,jacket
jacket,zip,teeth,boxer,jacket
jet,nail,chain,moth,jet
jug,lightning,curl,boxer,jug
jug,owl,soap,feet,jug
jacket,web,hair,farm,jacket
jacket,letter,corner,coin,corner
jet,tinfoil,horn,tail,jet
jug,town,shark,cork,jug
jug,butter,road,six,jug
jug,ear,surf,moon,jug
jam,wing,curl,queen,jam
jug,sing,fish,owl,owl
jug,quack,park,dish,quack
jam,food,nail,teeth,jam
jam,buzz,oil,book,jam
jacket,arch,owl,torch,jacket
jacket,lightning,oak,surf,jacket
jug,road,fork,sail,jug
jam,wood,loaf,fish,jam
jacket,coin,roof,hook,jacket
jam,wing,king,singer,jam
jacket,fox,tinfoil,chop,jacket
jug,boxer,cork,chain,jug
jet,chick,coin,chop,jet
jet,church,hair,chick,jet
jam,tinfoil,buzz,moat,jam
jam,cork,corner,shop,jam
jug,letter,chin,stair,jug
jacket,corn,town,wing,jacket
jacket,corner,oak,shell,jacket
jam,book,chop,waiter,jam
jug,rain,gear,hook,jug
jet,web,surf,toad,jet
jet,night,waiter,box,jet
jug,light,soil,dish,jug
jacket,boat,queen,fox,jacket
jam,box,vet,teeth,jam
jam,bee,tooth,oak,jam
jet,singer,boat,shed,boat
jet,wool,surf,zip,jet
jam,church,corner,car,jam
jug,buzz,chicken,moon,jug
jug,moat,moat,wool,jug
jacket,letter,tinfoil,farm,jacket
jacket,toad,letter,path,jacket
jam,farm,chop,farmer,jam
jam,boot,wet,web,jam
jug,wool,hood,singer,jug
jacket,fork,church,shop,jacket
jet,wing,sail,wet,jet
jug,sail,vet,wood,wood
jug,sail,food,wool,jug
jug,path,waiter,chop,chop
jacket,nail,path,tear,jacket
jam,soap,buzz,soil,jam
jet,six,wing,tail,tail
jacket,coin,bath,park,jacket
jam,six,owl,wig,jam
jam,loaf,turnip,hoof,jam
jug,night,barn,wool,jug
jacket,hoof,cook,yak,jacket
jet,turnip,tinfoil,gear,jet
jet,surf,hood,soap,jet
jam,fork,wig,chin,jam
jam,moth,thorn,buzz,thorn
jacket,waiter,rain,horn,jacket
jacket,fur,goal,dish,goal
jacket,dish,teeth,nail,jacket
jam,hammer,surf,hook,jam
jet,moat,seed,sing,jet
jug,shop,gear,lightning,jug
jug,butter,vet,curl,jug
jam,nail,park,loaf,jam
jug,bark,toad,shell,jug
jet,stair,lightning,cart,jet
jug,wig,cow,bush,jug
jam,bark,hoof,chick,hoof
jam,hoof,roof,shop,jam
jam,poison,six,arch,jam
jug,seed,park,chick,jug
jam,church,cart,surf,jam
jet,vet,gear,sheep,jet
jug,queen,barn,beard,beard
jam,loaf,chair,torch,chair
jug,tooth,stair,web,jug
jam,soap,butter,cow,butter
jam,tear,six,butter,jam
jet,queen,chicken,zigzag,jet
jug,foot,lord,hoof,jug
jacket,horn,teeth,moon,jacket
jug,burn,boot,coin,jug
jacket,poison,chain,light,jacket
jug,bark,fish,lightning,jug
jet,seed,wet,moat,seed
jam,hoof,light,quack,jam
jacket,seed,zip,wet,jacket
jug,poison,chick,waiter,jug
jacket,coin,card,curl,jacket
jam,quack,ring,road,jam
jacket,curl,letter,poison,letter
jam,cart,stair,chain,jam
jet,waiter,oil,road,jet
jug,surf,zigzag,bark,bark
jam,wig,chair,boxer,jam
jacket,bark,curl,cork,jacket
jet,dish,toad,ear,jet
jug,foot,soap,foot,jug
jam,boot,rain,waiter,jam
jacket,soap,burn,vet,jacket
jam,chicken,wood,poison,jam
jet,owl,shark,horn,jet
jacket,fox,gear,chicken,chicken
jam,sheep,sail,cart,jam
jam,web,card,chair,jam
jug,toad,lord,goat,toad
jam,gear,chick,tooth,jam
jacket,singer,sail,shell,jacket
jam,zigzag,van,quack,van
jet,cart,burn,vet,cart
jacket,wool,lightning,dish,jacket
jam,shell,bush,farm,jam
jam,vet,curl,sing,jam
jet,fork,shed,lightning,jet
jam,oil,corner,chicken,jam
jug,curl,oak,quack,jug
jet,loaf,soap,curl,jet
jam,fork,park,boat,jam
jam,owl,moth,wig,jam
jacket,corner,waiter,cork,jacket
jacket,vet,van,car,jacket
jet,rain,corner,stair,jet
jug,chain,tooth,letter,jug
jam,lord,moth,goal,jam
jug,teeth,rain,cart,jug
jam,tooth,fish,bark,jam
jug,thorn,bath,fur,jug
jam,stair,chick,goat,jam
jug,bath,shed,cart,jug
jug,farmer,shed,farmer,shed
jet,path,farm,cow,jet
jug,night,goat,shed,jug
jug,chop,goat,fork,jug
jet,lord,zip,shark,jet
jam,food,barn,loaf,jam
jet,farm,butter,hair,jet
jacket,bark,bee,hook,jacket
jug,boat,curl,sail,jug
jug,tail,van,shed,jug
jacket,wood,coin,foot,jacket
jam,food,horn,poison,jam
jug,shark,feet,burn,jug
jam,feet,fur,yak,jam
jacket,chop,chair,farmer,farmer
jacket,cow,letter,hair,jacket
jug,tinfoil,queen,chick,jug
jacket,six,zigzag,sing,jacket
jacket,food,wet,quack,jacket
jacket,thorn,fish,owl,jacket
jam,fur,road,cow,jam
jam,card,vet,web,jam
jacket,zigzag,chop,stair,jacket
jacket,beard,owl,wig,jacket
jug,wing,soap,seed,jug
jacket,beard,zip,letter,jacket
jacket,moon,tail,hook,jacket
jam,sheep,roof,king,king
jet,chain,town,box,jet
jug,hair,owl,tail,jug
jacket,fork,foot,van,jacket
jacket,corn,surf,hair,jacket
jacket,farmer,stair,path,jacket
jacket,lightning,chop,soap,jacket
jacket,ear,shark,dinner,dinner
jacket,lord,horn,wet,jacket
jam,shell,car,chain,jam
jet,bath,cow,rain,jet
jacket,goat,sing,sheep,jacket
jug,sheep,box,sail,jug
jam,shop,chair,box,jam
jug,corner,hoof,soil,jug
jacket,wig,surf,buzz,jacket
jacket,boxer,web,fish,jacket
jam,burn,singer,wig,wig
jacket,fox,bush,tear,jacket
jet,moth,poison,farmer,jet
jet,buzz,hammer,ring,jet
jug,town,church,park,jug
jug,chick,goal,chop,jug
jet,corn,light,path,corn
jet,shark,hammer,boat,jet
jam,barn,six,beard,jam
jacket,hair,light,lord,jacket
jet,bath,wet,barn,bath
jug,road,buzz,cart,jug
jam,buzz,torch,chop,jam
jet,soap,farmer,poison,farmer
jam,butter,chicken,waiter,jam
jam,hood,hammer,six,jam
jacket,butter,hoof,food,jacket
jet,dish,boot,corner,jet
jug,hair,tooth,toad,jug
jam,farmer,hoof,path,jam
jacket,hood,hoof,wing,jacket
jet,hair,moat,surf,jet
jam,ring,wool,tooth,wool
jet,letter,park,turnip,jet
jug,wig,thorn,book,jug
jacket,bee,letter,boot,jacket
jacket,turnip,corn,web,jacket
jam,chin,chain,butter,jam
jug,quack,waiter,butter,jug
jug,shell,oil,moth,oil
jam,night,boxer,road,jam
jacket,fork,king,rain,jacket
jacket,loaf,torch,soap,jacket
jug,car,hair,boxer,jug
jam,nail,cook,chop,jam
jam,wig,king,chin,jam
jam,church,foot,chair,jam
jacket,hook,roof,path,jacket
jam,horn,fox,chair,jam
jet,sing,chick,shed,jet
jacket,boxer,fur,boot,jacket
jam,tooth,foot,sheep,jam
jacket,car,horn,coin,jacket
jacket,wing,wool,owl,owl
jug,farmer,gear,chick,jug
jet,boot,cow,shed,jet
jam,light,farmer,bath,jam
jam,poison,bush,bath,jam
jam,owl,cart,moon,jam
jug,soil,cook,goal,jug
jug,chain,king,oak,jug
jacket,wet,food,hood,hood
jam,loaf,wet,chair,jam
jam,moat,tear,soap,jam
jug,bark,king,boat,jug
jacket,shed,box,chick,jacket
jacket,hook,chin,cork,jacket
jug,cart,food,chick,food
jet,tooth,bark,ear,jet
jet,six,shed,surf,surf
jam,singer,chain,bush,jam
jet,curl,cow,foot,jet
jug,fur,tail,soil,jug
jug,farmer,torch,king,king
jacket,box,goal,poison,box
jam,chop,ear,gear,jam
jam,boot,bark,ring,jam
jug,lightning,sheep,farmer,jug
jug,fork,butter,shark,jug
jam,bush,cork,moon,jam
jam,van,barn,van,jam
jacket,boot,cart,bath,jacket
jam,chair,car,chicken,jam
jet,barn,foot,butter,jet
jet,feet,hair,moat,jet
jam,road,teeth,web,jam
jacket,corn,singer,corn,corn
jam,road,hammer,tinfoil,jam
jug,ear,farmer,six,jug
jam,boot,soap,thorn,boot
jet,six,hoof,curl,jet
jet,ring,toad,goat,jet
jacket,chop,nail,van,jacket
jug,car,chicken,hammer,hammer
jam,boxer,tooth,dish,jam
jam,coin,goat,road,jam
jam,arch,bush,roof,jam
jug,buzz,six,bush,jug
jacket,singer,wool,loaf,jacket
jet,quack,church,wet,church
jacket,hood,hood,singer,hood
jug,shed,fork,loaf,shed
jam,hoof,cart,lord,jam
jug,tear,king,cart,jug
jam,wool,wet,singer,jam
jet,letter,thorn,wet,jet
jam,book,wig,night,jam
jacket,bark,arch,rain,jacket
jam,ear,chicken,shed,jam
jacket,boot,foot,corn,jacket
jet,moth,roof,church,jet
jam,toad,fur,foot,toad
jam,zigzag,farm,boxer,jam
jet,loaf,fork,poison,poison
jug,vet,dish,feet,jug
jug,teeth,rain,farm,jug
jug,zip,lightning,shark,jug
jug,cow,feet,shop,jug
jet,hoof,chain,gear,jet
jacket,corner,hood,zip,jacket
jug,loaf,roof,waiter,jug
jet,beard,shark,food,jet
jug,poison,light,cork,jug
jug,corn,cork,buzz,jug
jam,hook,chin,wing,jam
jet,fish,fox,waiter,jet
jacket,oil,cart,roof,jacket
jug,cow,tail,bee,jug
jet,car,oak,hoof,jet
jam,bark,oil,arch,jam
jet,chin,shop,chicken,jet
jacket,goal,torch,tail,jacket
jam,bath,chop,boot,jam
jam,seed,waiter,bath,jam
jet,road,box,zip,jet
jet,fork,feet,cork,jet
jam,buzz,king,shop,jam
jet,zip,hook,chicken,jet
jug,teeth,sing,soil,jug
jam,soil,hammer,boat,jam
jam,horn,tail,book,jam
jet,food,zip,thorn,jet
jam,moth,hair,chain,jam
jet,letter,farm,fork,jet
jug,six,waiter,goat,jug
jug,seed,waiter,six,jug
jam,rain,corn,cow,jam
jacket,moth,rain,corner,jacket
jet,town,lord,cork,jet
jet,waiter,teeth,farmer,jet
jacket,cart,wing,vet,jacket
jet,soil,six,hood,jet
jacket,book,goat,buzz,buzz
jam,thorn,chick,moth,jam
jug,boat,toad,beard,jug
jacket,fish,zigzag,waiter,jacket
jacket,yak,goal,box,jacket
jet,waiter,letter,chin,letter
jacket,path,king,shop,jacket
jacket,dinner,hook,roof,dinner
jam,tear,gear,teeth,jam
jet,food,ear,surf,jet
jug,hoof,chin,coin,jug
jug,shark,buzz,cow,jug
jet,bath,night,bath,jet
jam,wood,farm,bee,jam
jug,shark,barn,chick,jug
jet,chop,king,buzz,jet
jug,web,boot,queen,jug
jug,soap,gear,bush,jug
jam,bee,road,park,jam
jacket,goat,boat,king,jacket
jacket,shed,shop,church,jacket
jacket,quack,shed,seed,jacket
jet,goal,shop,chop,jet
jacket,boot,waiter,wing,jacket
jam,toad,moth,chick,moth
jet,shop,park,hoof,jet
jacket,wood,goat,wool,jacket
jacket,wing,hood,buzz,jacket
jet,bark,van,hook,jet
jam,ear,chicken,book,jam
jam,dish,goat,curl,jam
jam,bee,arch,corn,jam
jacket,dish,dish,wool,jacket
jet,surf,box,sail,jet
jam,goat,yak,moon,jam
jug,bee,moth,farm,jug
jet,car,corner,path,jet
jug,wool,boot,wood,jug
jug,cork,torch,feet,jug
jug,waiter,wig,sing,jug
jet,boat,light,web,jet
jam,ear,cart,fish,jam
jacket,farm,hammer,buzz,jacket
jacket,farmer,web,cart,jacket
jacket,king,tinfoil,buzz,buzz
jet,gear,tooth,cook,jet
jacket,lightning,web,loaf,jacket
jacket,boxer,dinner,horn,jacket
jug,moat,ear,sheep,jug
jam,oil,singer,bath,bath
jacket,poison,loaf,chop,jacket
jam,farmer,nail,owl,jam
jam,van,letter,chair,jam
jacket,coin,waiter,teeth,jacket
jug,church,cook,fork,fork
jacket,buzz,hammer,curl,jacket
jet,moon,nail,bath,jet
jug,wig,curl,fur,fur
jam,rain,stair,book,jam
jacket,sheep,fox,goat,sheep
jam,horn,zip,dish,jam
jet,tear,fork,nail,jet
jet,bush,farm,chain,farm
jet,surf,hammer,car,jet
jug,bush,queen,goal,jug
jug,sail,cork,shark,jug
jacket,park,quack,singer,jacket
jam,sing,hair,ring,jam
jug,barn,horn,box,barn
jug,yak,quack,chain,jug
jug,chop,foot,shark,chop
jug,chain,bee,torch,jug
jug,chick,surf,fur,jug
jet,hair,goat,ring,jet
jam,dish,park,singer,jam
jet,corner,nail,turnip,turnip
jacket,boot,church,tinfoil,jacket
jam,tail,tooth,thorn,jam
jacket,farm,coin,wig,jacket
jet,fur,soil,wing,jet
jet,chick,letter,hood,jet
jacket,bark,bee,dish,jacket
jam,food,card,van,jam
jacket,tinfoil,van,boat,jacket
jug,shell,hood,van,jug
jug,chin,feet,coin,jug
jet,roof,arch,hammer,jet
jacket,corn,tear,sail,sail
jacket,horn,web,hair,jacket
jet,vet,chicken,buzz,chicken
jam,boxer,church,soap,jam
jug,owl,shark,chair,jug
jacket,boot,chain,chicken,jacket
jam,sail,gear,vet,jam
jam,wood,teeth,bee,jam
jet,night,queen,bee,bee
jacket,book,goal,chair,jacket
jam,nail,goat,sing,jam
jug,corner,coin,chin,jug
jet,sing,torch,ring,jet
jacket,feet,tail,van,jacket
jacket,farm,farm,fork,jacket
jacket,buzz,barn,sing,jacket
jet,farmer,wing,six,jet
jacket,wing,cart,fox,jacket
jug,boxer,boxer,tail,jug
jam,goat,road,sheep,jam
jug,quack,fur,waiter,jug
jam,turnip,hook,hammer,jam
jam,road,goat,roof,jam
jacket,ear,coin,sheep,jacket
jam,roof,fur,shark,jam
jug,web,web,bee,jug
jet,tear,car,seed,jet
jet,shell,foot,shell,jet
jacket,queen,waiter,sing,jacket
jug,wet,chicken,cart,jug
jacket,chair,light,tear,jacket
jam,bath,tooth,thorn,jam
jam,letter,cork,cart,cart
jug,van,soil,chop,jug
jacket,church,hammer,road,jacket
jet,road,wool,soil,jet
jet,fur,owl,seed,jet
jacket,tear,seed,car,jacket
jam,park,park,horn,jam
jet,ear,cow,path,jet
jet,sheep,web,burn,jet
jug,church,barn,road,jug
jam,bee,stair,light,jam
jug,moon,boot,surf,surf
jam,bark,loaf,lord,jam
jam,sheep,chin,box,jam
jug,soap,church,yak,jug
jam,toad,vet,farmer,jam
jug,town,card,chain,jug
jug,soap,owl,six,jug
jet,goal,shark,turnip,jet
jam,ear,soil,waiter,waiter
jacket,beard,light,night,jacket
jet,web,yak,corn,web
jug,wing,nail,moon,wing
jam,chain,teeth,king,jam
jug,bath,burn,tinfoil,jug
jam,dinner,bee,cart,jam
jam,lightning,chin,zip,jam
jug,card,tear,bush,jug
jet,shark,burn,bark,jet
jug,park,corn,sheep,jug
jug,hoof,six,corner,jug
jet,hammer,vet,teeth,hammer
jacket,butter,lightning,chicken,jacket
jam,coin,tail,oak,jam
jam,loaf,zigzag,cork,jam
jacket,fish,food,chair,jacket
jug,burn,shop,owl,jug
jam,chain,oil,loaf,jam
jacket,owl,oil,letter,jacket
jet,nail,sing,wool,jet
jam,goat,bark,bush,jam
jug,beard,thorn,torch,torch
jam,bee,ear,buzz,jam
jet,tinfoil,surf,letter,jet
jacket,fork,waiter,letter,jacket
jam,burn,queen,ear,jam
jug,fox,cork,beard,jug
jam,six,burn,quack,jam
jet,dinner,owl,stair,owl
jug,wig,torch,cow,jug
jam,hammer,wing,moon,jam
jug,shell,buzz,queen,jug
jet,queen,tinfoil,moth,jet
jacket,town,fur,dinner,jacket
jug,goal,horn,yak,horn
jacket,arch,night,chicken,jacket
jet,horn,lightning,horn,jet
jam,gear,gear,soap,jam
jacket,boat,sing,fork,jacket
jug,lord,corn,fur,jug
jacket,chain,thorn,wing,jacket
jacket,nail,boot,lightning,jacket
jacket,hammer,seed,waiter,jacket
jug,farm,cook,path,jug
jacket,box,toad,fork,jacket
jug,chin,hoof,bee,jug
jet,owl,hood,ring,jet
jet,tinfoil,fox,loaf,jet
jet,quack,fur,fur,jet
jug,corn,cow,turnip,jug
jug,shark,town,box,jug
jug,king,turnip,queen,jug
jet,ring,beard,corner,jet
jacket,hook,corner,sheep,jacket
jam,turnip,sing,tail,tail
jam,vet,path,poison,jam
jacket,ear,night,farm,jacket
jug,bush,burn,dish,jug
jug,moon,teeth,light,jug
jet,butter,owl,lord,jet
jam,hair,wood,goat,jam
jet,tear,goal,singer,jet
jug,foot,chop,dish,jug
jacket,soap,corner,moon,jacket
jam,web,wool,beard,jam
jet,feet,chicken,quack,jet
jet,arch,cart,ear,jet
jam,waiter,corner,sing,jam
jacket,hammer,boxer,oak,hammer
jacket,farm,light,toad,light
jet,turnip,ring,hair,jet
jacket,fish,yak,tinfoil,jacket
jam,chicken,zigzag,sheep,jam
jug,chicken,chin,hair,jug
jet,shop,hair,path,jet
jam,fox,night,chair,jam
jet,gear,corner,butter,jet
jug,singer,queen,light,jug
jacket,church,butter,church,jacket
jug,teeth,path,path,jug
jacket,park,wig,tail,wig
jacket,gear,hair,curl,jacket
jet,wool,quack,burn,jet
jet,tear,oil,letter,jet
jug,surf,ring,chick,jug
jug,hood,cart,tail,jug
jacket,hair,bath,tear,jacket
jug,lord,boat,curl,jug
jam,bush,bush,dish,jam
jam,boot,soap,food,jam
jug,rain,bee,feet,jug
